ClusterName,NCells,Description,Class,TaxonomyRank2,Neurotransmitter,Region,Probable_location,Comment
HBINH4,75,"Inhibitory neurons, hindbrain",Neurons,CNS neurons,"GABA, Glycine (GLYT1,GLYT2)",Medulla,Paragigantocellular reticular nucleus,should be very posterior in medulla because of Hox genes
HBINH3,127,"Inhibitory neurons, hindbrain",Neurons,CNS neurons,"GABA, Glycine (GLYT1,GLYT2)",Medulla,Paragigantocellular reticular nucleus,should be very posterior in medulla because of Hox genes
HBINH1,13,"Inhibitory neurons, hindbrain",Neurons,CNS neurons,"GABA, Nitric oxide",Pons,"Pons, interpeduncular and tegmental nuclei in rh1",nan
SCINH11,50,"Central canal neurons, spinal cord",Neurons,CNS neurons,GABA,Spinal cord,Spinal Cord central canal,nan
MEINH3,258,"Inhibitory neurons, midbrain",Neurons,CNS neurons,GABA,Midbrain dorsal,"Dorsal midbrain, medial geniculate nucleus, anteroventral midbrain",nan
MEINH4,162,"Inhibitory neurons, midbrain",Neurons,CNS neurons,"GABA, Nitric oxide",Midbrain dorsal,Anterior pretectal nucleus,nan
DEINH3,323,"Inhibitory neurons, hypothalamus",Neurons,CNS neurons,GABA,Hypothalamus,Subthalamic nucleus,nan
MEINH2,461,"Inhibitory neurons, midbrain",Neurons,CNS neurons,GABA,"Midbrain dorsal,Midbrain ventral",Midbrain,Magnocellular because they are huge
MEINH7,69,"Inhibitory neurons, midbrain",Neurons,CNS neurons,GABA,Midbrain dorsal,Superior colliculus,nan
MEINH5,154,"Inhibitory neurons, midbrain",Neurons,CNS neurons,GABA,Midbrain dorsal,Superior colliculus (sparse),nan
MEINH12,49,"Inhibitory neurons, midbrain",Neurons,CNS neurons,GABA,Midbrain dorsal,Superior colliculus,No good stainings in ABA
MEINH11,101,"Inhibitory neurons, midbrain",Neurons,CNS neurons,"GABA, Nitric oxide",Midbrain dorsal,Superior colliculus superficial gray layer,nan
MEINH9,400,"Inhibitory neurons, midbrain",Neurons,CNS neurons,GABA,Midbrain dorsal,Dorsal midbrain scattered,nan
MEINH10,792,"Inhibitory neurons, midbrain",Neurons,CNS neurons,"GABA, Nitric oxide",Midbrain dorsal,Superior colliculus superficial grey layer,nan
MEINH6,47,"Inhibitory neurons, midbrain",Neurons,CNS neurons,GABA,Midbrain dorsal,Superior colliculus,nan
HBINH6,62,"Inhibitory neurons, hindbrain",Neurons,CNS neurons,"GABA, Glycine (GLYT1)",Pons,Koelliker-Fuse subnucleus,nan
HBINH2,22,"Inhibitory neurons, hindbrain",Neurons,CNS neurons,"GABA, Glycine (GLYT1), Nitric oxide",Medulla,Nucleus of the solitary tract,nan
SCGLU8,15,"Excitatory neurons, spinal cord",Neurons,CNS neurons,Glutamate (VGLUT2),Spinal cord,Dorsal horn lamina 2-5,correspond to Glut2 in C1 data.
SCGLU9,154,"Excitatory neurons, spinal cord",Neurons,CNS neurons,Glutamate (VGLUT2),Spinal cord,Dorsal horn lamina 3,correspond to Glut3 in C1 data.
SCGLU7,30,"Excitatory neurons, spinal cord",Neurons,CNS neurons,Glutamate (VGLUT2),Spinal cord,Dorsal horn lamina 2-5,correspond to subpopulation of Glut2 in C1 data.
SCGLU2,133,"Excitatory neurons, spinal cord",Neurons,CNS neurons,Glutamate (VGLUT2),Spinal cord,Dorsal horn lamina 4-6,correspond to Glut13 in C1 data.
SCGLU3,62,"Excitatory neurons, spinal cord",Neurons,CNS neurons,Glutamate (VGLUT2),Spinal cord,Dorsal horn lamina 1-3,correspond to Glut12 in C1 data. Break to have only Cadps2>0 cells.
SCGLU4,180,"Excitatory neurons, spinal cord",Neurons,CNS neurons,"Glutamate (VGLUT2), Nitric oxide",Spinal cord,Dorsal horn lamina 2-3,"correspond to Glut10,11 in C1 data. Lamp5 high is Glut11."
SCGLU6,140,"Excitatory neurons, spinal cord",Neurons,CNS neurons,Glutamate (VGLUT2),Spinal cord,Dorsal horn lamina 1-2,"correstpond to Glut8,9 in C1 data. Npff is Glut9 and Nmur2 is Glut8."
SCGLU5,252,"Excitatory neurons, spinal cord",Neurons,CNS neurons,Glutamate (VGLUT2),Spinal cord,"Dorsal horn, lamina 2-3","correspond to Glut5,6,7 in C1 data. Mylk is Glut6 and Nmu (high) is Glut6-7."
SCINH5,44,"Inhibitory neurons, spinal cord",Neurons,CNS neurons,"GABA, Glycine (GLYT2)",Spinal cord,"Dorsal horn, lamina 2-6",correspond to Gaba13 in C1 data.
SCINH6,87,"Inhibitory neurons, spinal cord",Neurons,CNS neurons,GABA,Spinal cord,"Dorsal horn, lamina 2-4",correspond to Gaba9 in C1 data.
SCINH7,71,"Inhibitory neurons, spinal cord",Neurons,CNS neurons,GABA,Spinal cord,"Dorsal horn, lamina 2-6",correspond to Gaba8 in C1 data.
HBINH9,98,"Inhibitory neurons, hindbrain",Neurons,CNS neurons,"GABA, Glycine (GLYT1,GLYT2)",Medulla,Paragigantocellular reticular nucleus,should be very posterior in medulla because of Hox genes
SCINH2,117,"Inhibitory neurons, spinal cord",Neurons,CNS neurons,"GABA, Glycine (GLYT2)",Spinal cord,"Dorsal horn, lamina 2-6",correspond to Gaba13 (most similar but not sure since Cplx1 negative) in C1 data.
SCINH4,37,"Inhibitory neurons, spinal cord",Neurons,CNS neurons,GABA,Spinal cord,"Dorsal horn, lamina 3-6",correspond to Gaba10 in C1 data. Might be proken to Eya2 and Adamts5.
SCINH3,66,"Inhibitory neurons, spinal cord",Neurons,CNS neurons,"GABA, Glycine (GLYT2)",Spinal cord,"Dorsal horn, lamina 2-6",correspond to Gaba5-7in C1 data. Might be proken to Trh and Gpr101.
SCINH10,65,"Inhibitory neurons, spinal cord",Neurons,CNS neurons,"GABA, Glycine (GLYT2), Nitric oxide",Spinal cord,"Dorsal horn, lamina 2-6",correspond to Gaba2 in C1 data.
SCINH9,84,"Inhibitory neurons, spinal cord",Neurons,CNS neurons,GABA,Spinal cord,"Dorsal horn, lamina 2-6",correspond to Gaba2-3 in C1 data. Probably a mix of Gaba2 and 3.
SCINH8,87,"Inhibitory neurons, spinal cord",Neurons,CNS neurons,GABA,Spinal cord,"Dorsal horn, lamina 2-6",correspond to Gaba3 in C1 data.
TEINH3,145,"Inhibitory neurons, telencephalon",Neurons,CNS neurons,GABA,Pallidum,Bed nuclei of the stria terminalis posterior division,nan
OBDOP1,371,"Dopaminergic periglomerular interneuron, olfactory bulb",Neurons,CNS neurons,"GABA,Dopamine",Olfactory bulb,"Olfactory bulb, periglomerular layer",http://www.sciencedirect.com/science/article/pii/0306452295005676
HYPEP8,15,"Peptidergic neurons, hypothalamus",Neurons,CNS neurons,Glutamate (VGLUT2),Hypothalamus,Anteroventral periventricular continue along midline to Medial septal nucleus,nan
ABC,137,Vascular leptomeningeal cells,Vascular,Vascular cells,NA,CNS,Pia/meninges surface,"Have Dcn,Gjb2,Ptgds. Lack Vtn,Cldn5,Lum,Col1a1 (neural crest origin is uncertain)"
VLMC2,662,Vascular leptomeningeal cells,Vascular,Vascular cells,NA,CNS,Olfactory bulb-enriched,"Enriched in Crapbp2,Slc13a3,Ptgds,Slc13a4,Aldh1a2 (neural crest origin is uncertain)"
VLMC1,702,Vascular leptomeningeal cells,Vascular,Vascular cells,NA,CNS,CNS,"Enriched in Lama1,Msc,Clo13a1,Col15a1 (neural crest origin is uncertain)"
VSMCA,1221,"Vascular smooth muscle cells, arterial",Vascular,Vascular cells,NA,CNS,CNS,nan
PER3,298,Pericytes,Vascular,Vascular cells,NA,CNS,CNS,merge with 5
VECA,109,"Vascular endothelial cells, arterial",Vascular,Vascular cells,NA,CNS,CNS,"Have low Lum,Dcn,Igf2,Pdgfra. Might be mixed with VSM+VLMC."
PER2,488,"Pericytes, possibly mixed with VENC",Vascular,Vascular cells,NA,CNS,CNS,nan
PER1,4725,Pericytes,Vascular,Vascular cells,NA,CNS,CNS,merge with 5
VECV,2780,"Vascular endothelial cells, venous",Vascular,Vascular cells,NA,CNS,CNS,nan
VECC,1025,"Vascular endothelial cells, capillary",Vascular,Vascular cells,NA,CNS,CNS,Serpine1 is Plasminogen activator inhibitor-1
MGL1,2270,Microglia,Immune,Immune cells,NA,CNS,CNS,nan
MGL2,1820,"Microglia, activated",Immune,Immune cells,NA,CNS,CNS,nan
MGL3,1335,"Microglia, activated",Immune,Immune cells,NA,CNS,CNS,nan
PVM2,639,"Perivascular macrophages, activated",Immune,Immune cells,NA,CNS,CNS,nan
PVM1,1390,Perivascular macrophages,Immune,Immune cells,NA,CNS,CNS,nan
SCHW,47,Schwann cells,PeripheralGlia,Neural crest-like glia,NA,Dorsal root ganglion,Dorsal root ganglion,"Probably making myelin, Pllp,Utg8a"
SATG2,654,Satellite glia,PeripheralGlia,Neural crest-like glia,NA,"Dorsal root ganglion,Sympathetic ganglion","Dorsal root ganglion,Sympathetic ganglion",nan
SATG1,30,"Satellite glia, proliferating",PeripheralGlia,Neural crest-like glia,NA,Dorsal root ganglion,Dorsal root ganglion,nan
ACBG,921,Bergmann glia,Astrocytes,CNS glia,NA,Cerebellum,Cerebellum,nan
ACOB,1438,Olfactory astrocytes,Astrocytes,CNS glia,NA,Olfactory bulb,Olfactory bulb periglomerular layer,nan
ACTE1,2974,"Telencephalon astrocytes, fibrous",Astrocytes,CNS glia,NA,Telencephalon,Telencephalon,nan
ACTE2,3973,"Telencephalon astrocytes, protoplasmic",Astrocytes,CNS glia,NA,Telencephalon,Telencephalon,nan
ACNT1,6642,"Non-telencephalon astrocytes, protoplasmic",Astrocytes,CNS glia,NA,"Hypothalamus,Thalamus,Midbrain dorsal,Midbrain ventral,Pons,Medulla,Spinal cord",Non-telencephalon,nan
ACNT2,2568,"Non-telencephalon astrocytes, fibrous",Astrocytes,CNS glia,NA,"Hypothalamus,Thalamus,Midbrain dorsal,Midbrain ventral,Pons,Medulla,Spinal cord",Non-telencephalon,nan
ACMB,861,Dorsal midbrain Myoc-expressing astrocyte-like,Astrocytes,CNS glia,NA,Midbrain dorsal,Dorsal midbrain,nan
EPEN,774,Ependymal cells,Ependymal,CNS glia,NA,Brain,Brain,nan
EPSC,414,"Ependymal cells, spinal cord",Ependymal,CNS glia,NA,Spinal cord,Spinal cord,"low Aqp4, many immidate early genes"
CHOR,458,Chorid plexus epithelial cells,Ependymal,CNS glia,NA,"Medulla,Thalamus","Medulla,Thalamus",nan
SYNOR3,409,"Noradrenergic neurons, sympathetic",Neurons,PNS neurons,Noradrenaline,Sympathetic ganglion,Sympathetic ganglion,correspont to NA3 in Furlan et al 2016.
SYNOR2,62,"Noradrenergic neurons, sympathetic",Neurons,PNS neurons,Noradrenaline,Sympathetic ganglion,Sympathetic ganglion,correspont to NA1 in Furlan et al 2016.
SYNOR1,97,Noradrenergic erector muscle neurons,Neurons,PNS neurons,Noradrenaline,Sympathetic ganglion,Sympathetic ganglion,correspont to NA2 in Furlan et al 2016.
SYNOR4,182,Noradrenergic erector muscle neurons,Neurons,PNS neurons,Noradrenaline,Sympathetic ganglion,Sympathetic ganglion,"correspont to NA4,5 in Furlan et al 2016."
SYNOR5,46,Noradrenergic erector muscle neurons,Neurons,PNS neurons,Noradrenaline,Sympathetic ganglion,Sympathetic ganglion,"correspont to NA4,5 in Furlan et al 2016."
SYCHO2,75,"Cholinergic neurons, sympathetic",Neurons,PNS neurons,"Acetylcholine, Noradrenaline",Sympathetic ganglion,Sympathetic ganglion,correspont to Ach2 in Furlan et al 2016.
SYCHO1,15,"Cholinergic neurons, sympathetic",Neurons,PNS neurons,"Acetylcholine, Noradrenaline",Sympathetic ganglion,Sympathetic ganglion,correspont to Ach1 in Furlan et al 2016.
PSPEP1,78,"Peptidergicv (PEP2), DRG",Neurons,PNS neurons,"Glutamate (VGLUT2), Nitric oxide",Dorsal root ganglion,Dorsal root ganglion,nan
PSPEP3,92,"Peptidergic (PEP1..4), DRG",Neurons,PNS neurons,Glutamate (VGLUT2),Dorsal root ganglion,Dorsal root ganglion,Express Slc5a7 (choline transporter)
PSPEP2,102,"Peptidergic (PEP1.3), DRG",Neurons,PNS neurons,"Glutamate (VGLUT2),Acetylcholine, Nitric oxide",Dorsal root ganglion,Dorsal root ganglion,Express Slc5a7 (choline transporter)
PSPEP4,117,"Peptidergic (PEP1.1), DRG",Neurons,PNS neurons,Glutamate (VGLUT2),Dorsal root ganglion,Dorsal root ganglion,nan
PSPEP5,30,"Peptidergic (PEP1.2), DRG",Neurons,PNS neurons,Glutamate (VGLUT2),Dorsal root ganglion,Dorsal root ganglion,Express Slc5a7 (choline transporter)
PSPEP6,54,"Peptidergic (TrpM8), DRG",Neurons,PNS neurons,Glutamate (VGLUT2),Dorsal root ganglion,Dorsal root ganglion,nan
PSPEP7,64,"Peptidergic (TrpM8), DRG",Neurons,PNS neurons,Glutamate (VGLUT2),Dorsal root ganglion,Dorsal root ganglion,nan
PSPEP8,28,"Peptidergic (TrpM8), DRG",Neurons,PNS neurons,Glutamate (VGLUT2),Dorsal root ganglion,Dorsal root ganglion,nan
PSNF2,57,"Neurofilament (NF4/5), DRG",Neurons,PNS neurons,"Glutamate (VGLUT1,VGLUT2)",Dorsal root ganglion,Dorsal root ganglion,nan
PSNF3,31,"Neurofilament (NF2/3), DRG",Neurons,PNS neurons,"Glutamate (VGLUT1,VGLUT2)",Dorsal root ganglion,Dorsal root ganglion,nan
PSNF1,38,"Neurofilament (NF1), DRG",Neurons,PNS neurons,"Glutamate (VGLUT1,VGLUT2)",Dorsal root ganglion,Dorsal root ganglion,nan
PSNP1,282,"Non-peptidergic (TH), DRG",Neurons,PNS neurons,"Glutamate (VGLUT2,VGLUT3)",Dorsal root ganglion,Dorsal root ganglion,nan
PSNP3,270,"Non-peptidergic (NP1.2), DRG",Neurons,PNS neurons,Glutamate (VGLUT2),Dorsal root ganglion,Dorsal root ganglion,nan
PSNP2,72,"Non-peptidergic (NP1.1), DRG",Neurons,PNS neurons,Glutamate (VGLUT2),Dorsal root ganglion,Dorsal root ganglion,nan
PSNP5,88,"Non-peptidergic (NP2.2), DRG",Neurons,PNS neurons,Glutamate (VGLUT2),Dorsal root ganglion,Dorsal root ganglion,nan
PSNP4,45,"Non-peptidergic (NP2.1), DRG",Neurons,PNS neurons,Glutamate (VGLUT2),Dorsal root ganglion,Dorsal root ganglion,nan
PSNP6,132,"Non-peptidergic (NP3), DRG",Neurons,PNS neurons,Glutamate (VGLUT2),Dorsal root ganglion,Dorsal root ganglion,nan
