annotation,p.value.enrichment_combined_rare_mendelian_obesity,p.value.ldsc,Region,Probable_location,Description,fdr_significant_enrichment
VLMC2,0.557143208401457,0.999979434527,CNS,Olfactory bulb-enriched,Vascular leptomeningeal cells,FALSE
SYNOR2,0.563912811608439,0.586912113952,Sympathetic ganglion,Sympathetic ganglion,"Noradrenergic neurons, sympathetic",FALSE
OBINH4,0.567950382357794,0.136270614357,Olfactory bulb,"Olfactory bulb, inner granular layer","Inhibitory neurons, olfactory bulb",FALSE
ACMB,0.586900911808031,0.97466221639,Midbrain dorsal,Dorsal midbrain,Dorsal midbrain Myoc-expressing astrocyte-like,FALSE
PSNP5,0.587822492632874,0.0484379798099,Dorsal root ganglion,Dorsal root ganglion,"Non-peptidergic (NP2.2), DRG",FALSE
PSPEP6,0.599893241883303,0.611415916081,Dorsal root ganglion,Dorsal root ganglion,"Peptidergic (TrpM8), DRG",FALSE
PSPEP7,0.61265172077229,0.632802992144,Dorsal root ganglion,Dorsal root ganglion,"Peptidergic (TrpM8), DRG",FALSE
PSNP1,0.612764225876288,0.335014181766,Dorsal root ganglion,Dorsal root ganglion,"Non-peptidergic (TH), DRG",FALSE
SCINH6,0.640018027193785,0.330756930392,Spinal cord,"Dorsal horn, lamina 2-4","Inhibitory neurons, spinal cord",FALSE
ACNT2,0.650163094818377,0.862740740319,"Hypothalamus,Thalamus,Midbrain dorsal,Midbrain ventral,Pons,Medulla,Spinal cord",Non-telencephalon,"Non-telencephalon astrocytes, fibrous",FALSE
DGGRC1,0.673895803103867,0.0318239298255,Dentate gyrus,Dentate gyrus,"Granule neuroblasts, dentate gyrus",FALSE
ENTG7,0.693719934709021,0.999886746707,Enteric nervous system,Enteric nervous system,Enteric glia,FALSE
CBINH1,0.697971330546756,0.0439184073699,Cerebellum,"Cerebellum, molecular layer","Molecular layer interneurons, cerebellum",FALSE
ABC,0.698612198667588,0.999220656037,CNS,Pia/meninges surface,Vascular leptomeningeal cells,FALSE
ENT4,0.712853079617793,0.814697985463,Enteric nervous system,Myenteric plexus of small intestine,Cholinergic enteric neurons,FALSE
OBINH1,0.718635806548203,0.176481512896,Olfactory bulb,Main and accessory olfactory bulb granular layer,"Inhibitory neurons, olfactory bulb",FALSE
SZNBL,0.738474894208934,0.523217351531,"Striatum dorsal, Striatum ventral, Dentate gyrus","Sub ventricular zone, Dentate gyrus",Neuronal intermidate progenitor cells,FALSE
MEINH1,0.763713893638677,0.125561034415,Midbrain ventral,"VTA, Substantia nigra, central nucleus raphe","Inhibitory neurons, midbrain",FALSE
VSMCA,0.764186405013877,0.928361887348,CNS,CNS,"Vascular smooth muscle cells, arterial",FALSE
OBINH3,0.76565791052965,0.333412289255,Olfactory bulb,Accessory olfactory bulb granular layer,"Inhibitory neurons, olfactory bulb",FALSE
DGGRC2,0.782406838572622,0.00663716191953,Dentate gyrus,Dentate gyrus,"Granule neurons, dentate gyrus",FALSE
HBGLU10,0.787559729674808,0.165840980579,Medulla,Nucleus of the solitary tract,"Excitatory neurons, hindbrain",FALSE
RGDG,0.790390984667375,0.995252867944,Dentate gyrus,Dentate gyrus subgranular zone,Dentate gyrus radial glia-like cells,FALSE
OPC,0.80583189215378,0.742411272039,CNS,CNS,Oligodendrocytes precursor cells,FALSE
ACOB,0.817674650497868,0.954162278614,Olfactory bulb,Olfactory bulb periglomerular layer,Olfactory astrocytes,FALSE
NFOL2,0.817819666703238,0.425003998345,CNS,Pons/medulla (possible batch effect),"Newly formed oligodendrocytes (NFOL), pons/medulla specific",FALSE
PER1,0.819512397916808,0.999999495933,CNS,CNS,Pericytes,FALSE
VECA,0.822560234485738,0.997151440753,CNS,CNS,"Vascular endothelial cells, arterial",FALSE
PER2,0.847960737966456,0.999995800324,CNS,CNS,"Pericytes, possibly mixed with VENC",FALSE
MFOL2,0.849504197304615,0.596575596119,CNS,CNS,Myelin forming oligodendrocytes (MFOL),FALSE
SCHW,0.856848168361701,0.993020988988,Dorsal root ganglion,Dorsal root ganglion,Schwann cells,FALSE
VLMC1,0.857188776405372,0.997599793691,CNS,CNS,Vascular leptomeningeal cells,FALSE
DGNBL1,0.857725818730784,0.65125256183,Dentate gyrus,Dentate gyrus,"Granule neuroblasts, dentate gyrus",FALSE
ENTG1,0.858173044472063,0.999342689447,Enteric nervous system,Enteric nervous system,"Enteric glia, proliferating",FALSE
OBNBL3,0.866869963506754,0.644470137736,Olfactory bulb,Olfactory bulb,"Neuroblasts, olfactory bulb",FALSE
DGNBL2,0.867123868090101,0.396726543088,Dentate gyrus,Dentate gyrus,"Granule neuroblasts, dentate gyrus",FALSE
COP2,0.875894153742342,0.72295014993,CNS,Pons/medulla (possible batch effect),"Committed oligodendrocytes cells (COP), pons/medulla specific",FALSE
OEC,0.885572967936777,0.973285450123,Olfactory bulb,Olfactory bulb,Olfactory ensheathing cells,FALSE
VECC,0.909453289044001,0.999764647166,CNS,CNS,"Vascular endothelial cells, capillary",FALSE
ENTG6,0.910574576555497,0.999859730403,Enteric nervous system,Enteric nervous system,Enteric glia,FALSE
SATG2,0.92026358447955,0.999970502163,"Dorsal root ganglion,Sympathetic ganglion","Dorsal root ganglion,Sympathetic ganglion",Satellite glia,FALSE
MGL2,0.923379663323077,0.926826059386,CNS,CNS,"Microglia, activated",FALSE
ACTE1,0.924012962298114,0.985478030739,Telencephalon,Telencephalon,"Telencephalon astrocytes, fibrous",FALSE
MGL3,0.925434495656989,0.979166114754,CNS,CNS,"Microglia, activated",FALSE
MFOL1,0.925501441526922,0.813785780718,CNS,Pons/medulla (possible batch effect),Myelin forming oligodendrocytes (MFOL),FALSE
ACNT1,0.930690914485932,0.914881122731,"Hypothalamus,Thalamus,Midbrain dorsal,Midbrain ventral,Pons,Medulla,Spinal cord",Non-telencephalon,"Non-telencephalon astrocytes, protoplasmic",FALSE
MOL3,0.9308390796253,0.951886116401,CNS,Spinal cord-enriched,"Mature oligodendrocytes, spinal cord enriched (high Klk6)",FALSE
CBNBL2,0.936642124183057,0.49517510026,Cerebellum,Cerabellum,"Neuroblasts, cerebellum",FALSE
MOL2,0.952231084798343,0.710443537186,CNS,Pons/medulla (possible batch effect),"Mature oligodendrocytes, hindbrain",FALSE
VECV,0.954712322147871,0.999401186409,CNS,CNS,"Vascular endothelial cells, venous",FALSE
ACBG,0.958158938340444,0.987285551046,Cerebellum,Cerebellum,Bergmann glia,FALSE
ENMFB,0.962928387057395,0.99999991353,Enteric nervous system,Enteric nervous system,Enteric mesothelial fibroblasts,FALSE
CBGRC,0.97028319053784,0.00277512308985,Cerebellum,Cerebellum,"Granule neurons, cerebellum",FALSE
MOL1,0.97222421520897,0.775349901679,CNS,CNS,Mature oligodendrocytes,FALSE
NFOL1,0.978795707950155,0.35968986786,CNS,CNS,Newly formed oligodendrocytes (NFOL),FALSE
MGL1,0.981833426556823,0.90961216772,CNS,CNS,Microglia,FALSE
ACTE2,0.989439284760473,0.980617749108,Telencephalon,Telencephalon,"Telencephalon astrocytes, protoplasmic",FALSE
ENTG5,0.991878784826148,0.99965596708,Enteric nervous system,Enteric nervous system,Enteric glia,FALSE
ENTG2,0.993062371223464,0.998238378368,Enteric nervous system,Enteric nervous system,Enteric glia,FALSE
ENTG3,0.993770905584181,0.998869580501,Enteric nervous system,Enteric nervous system,Enteric glia,FALSE
ENTG4,0.994719337577074,0.998922412591,Enteric nervous system,Enteric nervous system,Enteric glia,FALSE
COP1,0.997924473862169,0.918595061887,CNS,CNS,Committed oligodendrocytes cells (COP),FALSE
PVM2,0.998435230275903,0.988960895154,CNS,CNS,"Perivascular macrophages, activated",FALSE
PVM1,0.999422086760003,0.991377970013,CNS,CNS,Perivascular macrophages,FALSE
