dataset,annotation,bootstrap_estimate,bootstrap_error,bt_value,bp_value,bias_corrected_estimate,CI_lo,CI_hi,annotation.y,Class,Description,NCells,Neurotransmitter,Probable_location,Region,LeafOrder,TaxonomyRank1,TaxonomyRank2,TaxonomyRank3,TaxonomyRank4,Comment,TaxonomyRank4_reduced1,tax_order_idx_mb_fig1c,Neurotransmitter_class,Neurotransmitter_class_linnarson,nt.Acetylcholine,nt.Adrenaline,nt.Dopamine,nt.GABA,nt.GLYT1,nt.GLYT2,nt.Missing,nt.Nitric oxide,nt.Noradrenaline,nt.Serotonin,nt.VGLUT1,nt.VGLUT2,nt.VGLUT3,name_clean,category,fdr_significant
mousebrain_all.sem_mean,SCGLU4,2.3596363053574523e-6,1.5362459107315338e-6,1.535975646134566,0.06227217673463019,2.4055539730515565e-6,-7.498418517305656e-7,5.39135075749472e-6,SCGLU4,Neurons,"Excitatory neurons, spinal cord",180,"Glutamate (VGLUT2), Nitric oxide",Dorsal horn lamina 2-3,Spinal cord,111,Neurons,CNS neurons,Spinal cord neurons,Spinal cord excitatory neurons,"correspond to Glut10,11 in C1 data. Lamp5 high is Glut11.",Spinal cord excitatory neurons,15,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,SCGLU4,Neurons,FALSE
mousebrain_all.sem_mean,MEGLU3,2.082223796593783e-6,1.3719782478081134e-6,1.5176798902754947,0.06454755800278221,2.239931077919777e-6,-8.179600127989662e-7,4.6485155474962955e-6,MEGLU3,Neurons,"Excitatory neurons, midbrain",137,Glutamate (VGLUT1),Periaqueductal grey,Midbrain dorsal,122,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,nan,Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,MEGLU3,Neurons,FALSE
mousebrain_all.sem_mean,MEGLU7,1.3363214232743768e-6,9.093302993946695e-7,1.4695665856113562,0.070839587827129,1.3078179434270894e-6,-3.892762552083724e-7,3.1513890597939674e-6,MEGLU7,Neurons,"Excitatory neurons, midbrain",138,Glutamate (VGLUT1),Inferior colliculus,Midbrain dorsal,125,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,Poor markers,Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,MEGLU7,Neurons,FALSE
mousebrain_all.sem_mean,MEINH12,2.770739034120104e-6,1.909841108987093e-6,1.4507693970361746,0.0734220419741498,2.4211645513100327e-6,-8.562080822752154e-7,6.553430402099748e-6,MEINH12,Neurons,"Inhibitory neurons, midbrain",49,GABA,Superior colliculus,Midbrain dorsal,141,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon inhibitory neurons,No good stainings in ABA,Di- and mesencephalon inhibitory neurons,13,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,MEINH12,Neurons,FALSE
tabula_muris.sem_mean,Pancreas.pancreatic_acinar_cell,2.655337115052541e-6,1.8687934701415164e-6,1.4208831299327382,0.07767536907417809,2.8470901026744463e-6,-9.340882952320692e-7,5.687079599654736e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pancreas.pancreatic_acinar_cell,dummy_category,FALSE
mousebrain_all.sem_mean,SCGLU7,3.005686017049762e-6,2.145286137432686e-6,1.4010653239230533,0.080597269903284,2.9425763790994255e-6,-1.6635116520713504e-6,6.743669921653778e-6,SCGLU7,Neurons,"Excitatory neurons, spinal cord",30,Glutamate (VGLUT2),Dorsal horn lamina 2-5,Spinal cord,114,Neurons,CNS neurons,Spinal cord neurons,Spinal cord excitatory neurons,correspond to subpopulation of Glut2 in C1 data.,Spinal cord excitatory neurons,15,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,SCGLU7,Neurons,FALSE
mousebrain_all.sem_mean,HBINH2,2.0652441376936176e-6,1.5160023559948998e-6,1.3622961267354161,0.08655222475504766,2.033779576709899e-6,-1.196001583299765e-6,4.767822468421477e-6,HBINH2,Neurons,"Inhibitory neurons, hindbrain",22,"GABA, Glycine (GLYT1), Nitric oxide",Nucleus of the solitary tract,Medulla,160,Neurons,CNS neurons,Hindbrain neurons,Hindbrain neurons,nan,Hindbrain neurons,12,Inhibitory,In,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,HBINH2,Neurons,FALSE
mousebrain_all.sem_mean,MEINH4,1.960774550072471e-6,1.4550087944160871e-6,1.3476032293394857,0.08889301568657268,1.945086028348491e-6,-8.084639100771189e-7,4.671351241151604e-6,MEINH4,Neurons,"Inhibitory neurons, midbrain",162,"GABA, Nitric oxide",Anterior pretectal nucleus,Midbrain dorsal,148,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon inhibitory neurons,nan,Di- and mesencephalon inhibitory neurons,13,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,MEINH4,Neurons,FALSE
mousebrain_all.sem_mean,DEINH7,2.2036956065545517e-6,1.6541186682734298e-6,1.3322475882910934,0.09138942177319652,2.1916463173857868e-6,-1.0816680320670916e-6,5.136330457893232e-6,DEINH7,Neurons,"Inhibitory neurons, hypothalamus",182,GABA,"Suprachiasmatic nucleus, Medial preoptic nucleus",Hypothalamus,93,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Peptidergic neurons,nan,Peptidergic neurons,17,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEINH7,Neurons,FALSE
mousebrain_all.sem_mean,TEINH12,1.427645613008362e-6,1.0808150098828262e-6,1.3208972858020693,0.09326780744821905,1.3338179176216622e-6,-7.019233711972543e-7,3.3908722950322897e-6,TEINH12,Neurons,"Non-border Cck interneurons, cortex/hippocampus",280,"GABA,Glutamate (VGLUT3)","Hippocampus,Cortex","Hippocampus,Cortex",58,Neurons,CNS neurons,Telencephalon interneurons,Telencephalon inhibitory interneurons,nan,Telencephalon inhibitory interneurons,19,Ex/In,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,TEINH12,Neurons,FALSE
tabula_muris.sem_mean,Marrow.pre.natural_killer_cell,1.4488401881111507e-6,1.1003992272280445e-6,1.3166495870420092,0.09397805457916969,1.3729050685303525e-6,-6.940058430547426e-7,3.4985919275608005e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marrow.pre.natural_killer_cell,dummy_category,FALSE
mousebrain_all.sem_mean,HBGLU6,1.2678743922120757e-6,9.911985964578934e-7,1.2791325540037077,0.1004251907999258,1.2822708345824724e-6,-6.196301738904483e-7,3.2029730275568794e-6,HBGLU6,Neurons,"Excitatory neurons, hindbrain",252,"Glutamate (VGLUT1,VGLUT2), Nitric oxide",Pontine gray,Pons,165,Neurons,CNS neurons,Hindbrain neurons,Hindbrain neurons,nan,Hindbrain neurons,12,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,HBGLU6,Neurons,FALSE
mousebrain_all.sem_mean,HBCHO1,2.0349191877513407e-6,1.5993367986791088e-6,1.2723518832505942,0.1016240609755207,1.9595579081947427e-6,-1.050968098481153e-6,4.867875445568058e-6,HBCHO1,Neurons,"Cholinergic neurons, hindbrain",10,"Acetylcholine,Glutamate (VGLUT2)",Medulla (several nuclei),Medulla,161,Neurons,CNS neurons,Hindbrain neurons,Hindbrain neurons,nan,Hindbrain neurons,12,Excitatory,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,HBCHO1,Neurons,FALSE
mousebrain_all.sem_mean,SCGLU10,2.1299986132565717e-6,1.68917987251641e-6,1.2609661338691325,0.10366052448303514,2.3419854151883576e-6,-1.2072919710418676e-6,4.987685636694927e-6,SCGLU10,Neurons,"Excitatory neurons, spinal cord",68,Glutamate (VGLUT2),Dorsal horn lamina 2-4,Spinal cord,117,Neurons,CNS neurons,Spinal cord neurons,Spinal cord excitatory neurons,correspond to Glut1 in C1 data. Might include some Glut4.,Spinal cord excitatory neurons,15,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,SCGLU10,Neurons,FALSE
mousebrain_all.sem_mean,TEGLU4,9.97400271870385e-7,7.925449030572196e-7,1.2584779335819858,0.10410948132777204,9.382852907069025e-7,-5.513362657618454e-7,2.5512266773235246e-6,TEGLU4,Neurons,"Excitatory neurons, cerebral cortex",664,Glutamate (VGLUT1),"Cortex pyramidal layer 5, Cingulate/Retrosplenial area (superficial and deep)",Cortex,22,Neurons,CNS neurons,Telencephalon projecting neurons,Telencephalon projecting excitatory neurons,nan,Telencephalon projecting excitatory neurons,24,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,TEGLU4,Neurons,FALSE
mousebrain_all.sem_mean,DEINH5,1.4029902817669133e-6,1.1285007238863377e-6,1.2432338341222209,0.10689083911262662,1.43245688984887e-6,-8.468018126246795e-7,3.576320229367032e-6,DEINH5,Neurons,"Peptidergic neurons, hypothalamus",308,GABA,"Medial preoptic nucleus, Bed nuclei of the stria terminalis anterior division",Hypothalamus,86,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Peptidergic neurons,nan,Peptidergic neurons,17,Inhibitory,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEINH5,Neurons,FALSE
mousebrain_all.sem_mean,TEINH19,1.012066397071751e-6,8.547046065989742e-7,1.1841124866507369,0.11818426895855957,9.862363952749382e-7,-6.307330686902621e-7,2.7145385777263643e-6,TEINH19,Neurons,"Hippocamposeptal projection, cortex/hippocampus",1040,GABA,"Hippocampus (so),Cortex","Hippocampus,Cortex",51,Neurons,CNS neurons,Telencephalon interneurons,Telencephalon inhibitory interneurons,nan,Telencephalon inhibitory interneurons,19,Inhibitory,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TEINH19,Neurons,FALSE
mousebrain_all.sem_mean,HBGLU7,9.875046433076558e-7,8.707467055338355e-7,1.1340894395945358,0.12837851645584292,9.436823910529444e-7,-7.846245208418275e-7,2.66639335716755e-6,HBGLU7,Neurons,"Excitatory neurons, hindbrain",275,"Glutamate (VGLUT1,VGLUT2), Nitric oxide",Tegmental reticular nucleus,Pons,166,Neurons,CNS neurons,Hindbrain neurons,Hindbrain neurons,nan,Hindbrain neurons,12,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,HBGLU7,Neurons,FALSE
mousebrain_all.sem_mean,TEINH9,1.3028533321589946e-6,1.1544114737275358e-6,1.1285866104155633,0.12953613082914814,1.3207614111840681e-6,-8.967358171803381e-7,3.3698808199667133e-6,TEINH9,Neurons,"Non-border Cck interneurons, hippocampus",162,GABA,Hippocampus,Hippocampus,59,Neurons,CNS neurons,Telencephalon interneurons,Telencephalon inhibitory interneurons,nan,Telencephalon inhibitory interneurons,19,Inhibitory,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TEINH9,Neurons,FALSE
mousebrain_all.sem_mean,TEINH18,9.938991589922324e-7,9.004840027563356e-7,1.1037388292850931,0.13485322337200492,9.240950632784057e-7,-7.68673531915764e-7,2.720651332354509e-6,TEINH18,Neurons,"Basket and bistratified cells, cortex/hippocampus",547,"GABA, Nitric oxide","Hippocampus,Cortex","Hippocampus,Cortex",50,Neurons,CNS neurons,Telencephalon interneurons,Telencephalon inhibitory interneurons,nan,Telencephalon inhibitory interneurons,19,Inhibitory,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,TEINH18,Neurons,FALSE
mousebrain_all.sem_mean,MEGLU6,1.2381176501120761e-6,1.1390812232473425e-6,1.086944130799028,0.13853075070469845,1.033531790459634e-6,-8.970001550844408e-7,3.561635251617364e-6,MEGLU6,Neurons,"Excitatory neurons, midbrain",143,Glutamate (VGLUT1),"Superior colliculus, sensory related, deep layer",Midbrain dorsal,131,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,nan,Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,MEGLU6,Neurons,FALSE
mousebrain_all.sem_mean,TEINH15,9.858560972012936e-7,9.276738358499885e-7,1.0627184459697465,0.14395482658725145,8.721964001764556e-7,-7.45714514151785e-7,2.8908302758673094e-6,TEINH15,Neurons,"CGE-derived neurogliaform cells, cortex/hippocampus",1069,"GABA, Nitric oxide","Hippocampus,Cortex","Hippocampus,Cortex",54,Neurons,CNS neurons,Telencephalon interneurons,Telencephalon inhibitory interneurons,nan,Telencephalon inhibitory interneurons,19,Inhibitory,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,TEINH15,Neurons,FALSE
tabula_muris.sem_mean,Brain_Non.Myeloid.oligodendrocyte,1.0077140266892023e-6,9.832666649926925e-7,1.0248634094563671,0.15271382089997124,7.552678537199659e-7,-8.873614080889628e-7,2.9383666427631644e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brain_Non.Myeloid.oligodendrocyte,dummy_category,FALSE
mousebrain_all.sem_mean,HBINH9,1.2907604732735434e-6,1.263845800999486e-6,1.0212958513236128,0.15355714569692328,1.4956828542212668e-6,-1.2506999612526923e-6,3.7877575656017996e-6,HBINH9,Neurons,"Inhibitory neurons, hindbrain",98,"GABA, Glycine (GLYT1,GLYT2)",Paragigantocellular reticular nucleus,Medulla,106,Neurons,CNS neurons,Spinal cord neurons,Spinal cord inhibitory neurons,should be very posterior in medulla because of Hox genes,Spinal cord inhibitory neurons,16,Inhibitory,In,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,HBINH9,Neurons,FALSE
mousebrain_all.sem_mean,HYPEP1,9.22918483560172e-7,9.044702773670062e-7,1.0203966970002267,0.15377017987033267,9.213172864350694e-7,-8.067599454988522e-7,2.6022071764126025e-6,HYPEP1,Neurons,"Peptidergic neurons, hypothalamus",191,Glutamate (VGLUT2),Lateral hypothalamic area,Hypothalamus,88,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Peptidergic neurons,nan,Peptidergic neurons,17,Excitatory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,HYPEP1,Neurons,FALSE
mousebrain_all.sem_mean,DEINH2,1.5088476903794738e-6,1.4836109738642033e-6,1.0170103328701723,0.15457425696700278,1.6111802072814127e-6,-1.4075663136754647e-6,4.228841214212461e-6,DEINH2,Neurons,"Inhibitory neurons, thalamus",167,GABA,Reticular nucleus of the thalamus,Thalamus,48,Neurons,CNS neurons,Telencephalon interneurons,Telencephalon inhibitory interneurons,nan,Telencephalon inhibitory interneurons,19,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEINH2,Neurons,FALSE
mousebrain_all.sem_mean,HBSER5,1.5158859687809033e-6,1.4993779244779309e-6,1.0110099288734828,0.15600583883762462,1.5742458513514478e-6,-1.2340690048057206e-6,4.471078237990205e-6,HBSER5,Neurons,"Serotonergic neurons, hindbrain",64,Serotonin,"Nucleus raphe pons (pallidus, oscurus, magnus, B1-3)",Pons,81,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Cholinergic and monoaminergic neurons,nan,Cholinergic and monoaminergic neurons,18,Monoamines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,HBSER5,Neurons,FALSE
mousebrain_all.sem_mean,TEINH3,1.5959709487536498e-6,1.5854083531180355e-6,1.006662381723195,0.15704852277642437,1.6385326267676715e-6,-1.438046867366807e-6,4.475702098131205e-6,TEINH3,Neurons,"Inhibitory neurons, telencephalon",145,GABA,Bed nuclei of the stria terminalis posterior division,Pallidum,83,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Peptidergic neurons,nan,Peptidergic neurons,17,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TEINH3,Neurons,FALSE
mousebrain_all.sem_mean,MBDOP1,1.7991492568351173e-6,1.8103018798867844e-6,0.9938393573052222,0.16015054089890854,1.9126580567069513e-6,-2.075472833694354e-6,4.876642624504248e-6,MBDOP1,Neurons,"Dopaminergic neurons, periaqueductal grey",57,Dopamine,"Ventral midbrain, periaqueductal grey",Midbrain ventral,76,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Cholinergic and monoaminergic neurons,"Th but very low Slc6a3, neither VGLUT1,2 or 3; no Gad1 or Gad2",Cholinergic and monoaminergic neurons,18,Monoamines,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MBDOP1,Neurons,FALSE
tabula_muris.sem_mean,Marrow.hematopoietic_precursor_cell,9.409926260426138e-7,9.497874976255605e-7,0.9907401691379034,0.160906235591034,8.672229177979028e-7,-7.702160986299243e-7,2.8790682143551997e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marrow.hematopoietic_precursor_cell,dummy_category,FALSE
mousebrain_all.sem_mean,HBSER4,1.3661297724218221e-6,1.40044123936533e-6,0.975499531162723,0.16465626706930356,1.3527150144498037e-6,-1.1288059101764176e-6,4.137648307685879e-6,HBSER4,Neurons,"Serotonergic neurons, hindbrain",72,"Serotonin, Glutamate (VGLUT3)","Nucleus raphe medulla (pallidus, oscurus, magnus, B1-3)",Medulla,82,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Cholinergic and monoaminergic neurons,nan,Cholinergic and monoaminergic neurons,18,Excitatory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,HBSER4,Neurons,FALSE
tabula_muris.sem_mean,Thymus.immature_T_cell,1.050143259038829e-6,1.1368812783858783e-6,0.9237052971175688,0.1778198867107801,1.151571937510042e-6,-1.0785226037904984e-6,3.419673392248259e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thymus.immature_T_cell,dummy_category,FALSE
mousebrain_all.sem_mean,TEGLU10,6.031529182082327e-7,6.658297073420253e-7,0.9058666376061881,0.18250322237624672,5.775633584320956e-7,-6.491467973912294e-7,1.9016780931477204e-6,TEGLU10,Neurons,"Excitatory neurons, cerebral cortex",866,Glutamate (VGLUT1),Cortical pyramidal layer 5,Cortex,7,Neurons,CNS neurons,Telencephalon projecting neurons,Telencephalon projecting excitatory neurons,nan,Telencephalon projecting excitatory neurons,24,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,TEGLU10,Neurons,FALSE
mousebrain_all.sem_mean,HBGLU4,1.2415218064978443e-6,1.4471363372877537e-6,0.8579162685008135,0.19546935015484115,1.2994575073657991e-6,-1.5745073386060202e-6,4.184918832646247e-6,HBGLU4,Neurons,"Excitatory neurons, hindbrain",7,"Glutamate (VGLUT2), Nitric oxide",Medial vestibular nucleus and Nucleus prepositus,Medulla,163,Neurons,CNS neurons,Hindbrain neurons,Hindbrain neurons,nan,Hindbrain neurons,12,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,HBGLU4,Neurons,FALSE
tabula_muris.sem_mean,Large_Intestine.large_intestine_goblet_cell,9.784367625915398e-7,1.1440924674873487e-6,0.8552077654530658,0.1962180689864147,8.210755371266705e-7,-1.3322466977633283e-6,3.1460103262115986e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Large_Intestine.large_intestine_goblet_cell,dummy_category,FALSE
mousebrain_all.sem_mean,TEINH13,9.322049498938676e-7,1.0933660844562032e-6,0.8526009386485673,0.1969403209411642,1.0414782791648917e-6,-1.0699580499359565e-6,3.0022389203395573e-6,TEINH13,Neurons,"Trilaminar cells, hippocampus",163,"GABA, Glutamate (VGLUT3)",Hippocampus,Hippocampus,57,Neurons,CNS neurons,Telencephalon interneurons,Telencephalon inhibitory interneurons,nan,Telencephalon inhibitory interneurons,19,Ex/In,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,TEINH13,Neurons,FALSE
mousebrain_all.sem_mean,OBINH4,1.1957627799892824e-6,1.4178745287748555e-6,0.8433487983048166,0.19951669933440475,9.511409420554908e-7,-1.518066662687113e-6,3.7442699048309554e-6,OBINH4,Neurons,"Inhibitory neurons, olfactory bulb",465,GABA,"Olfactory bulb, inner granular layer",Olfactory bulb,42,Neurons,CNS neurons,Telencephalon interneurons,Olfactory inhibitory neurons,nan,Olfactory inhibitory neurons,20,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,OBINH4,Neurons,FALSE
mousebrain_all.sem_mean,TEINH10,8.137576548114854e-7,9.765167057195382e-7,0.8333269160120255,0.20233019008756536,8.036303781076641e-7,-1.0220719827276912e-6,2.6753828574299122e-6,TEINH10,Neurons,"R-LM border Cck interneurons, cortex/hippocampus",581,"GABA, Glutamate (VGLUT3)","Hippocampus (sr/slm),Cortex","Hippocampus,Cortex",60,Neurons,CNS neurons,Telencephalon interneurons,Telencephalon inhibitory interneurons,nan,Telencephalon inhibitory interneurons,19,Ex/In,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,TEINH10,Neurons,FALSE
mousebrain_all.sem_mean,MEGLU14,1.1661914685567066e-6,1.4924977820516992e-6,0.7813689792915957,0.21729275525148675,8.919832041639635e-7,-1.8464742081067637e-6,4.025211626869879e-6,MEGLU14,Neurons,Glutamatergic projection neurons of the raphe nucleus,47,Glutamate (VGLUT3),Dorsal raphe nucleus,Midbrain dorsal,75,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Cholinergic and monoaminergic neurons,https://www.ncbi.nlm.nih.gov/pubmed/18925658,Cholinergic and monoaminergic neurons,18,Excitatory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,MEGLU14,Neurons,FALSE
mousebrain_all.sem_mean,TEGLU8,5.410758161371314e-7,7.078181487682311e-7,0.764427723531432,0.22230619641077118,5.173357856255874e-7,-8.224834381689045e-7,1.900871880265119e-6,TEGLU8,Neurons,"Excitatory neurons, cerebral cortex",3071,Glutamate (VGLUT1),Cortical pyramidal layer 4,Cortex,9,Neurons,CNS neurons,Telencephalon projecting neurons,Telencephalon projecting excitatory neurons,nan,Telencephalon projecting excitatory neurons,24,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,TEGLU8,Neurons,FALSE
mousebrain_all.sem_mean,TEGLU24,8.765057927148211e-7,1.1489113572967628e-6,0.7629011473758288,0.2227611759463971,9.071606137199644e-7,-1.4886495608243331e-6,2.820270131083494e-6,TEGLU24,Neurons,"Excitatory neurons, hippocampus CA1",2037,"Glutamate (VGLUT1), Nitric oxide",CA1,Hippocampus,23,Neurons,CNS neurons,Telencephalon projecting neurons,Telencephalon projecting excitatory neurons,nan,Telencephalon projecting excitatory neurons,24,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,TEGLU24,Neurons,FALSE
mousebrain_all.sem_mean,TEINH7,9.154510264335924e-7,1.206118043341695e-6,0.7590061615339285,0.22392443548650687,9.662823349251654e-7,-1.411105437371491e-6,3.16502682382671e-6,TEINH7,Neurons,"Interneuron-selective interneurons, hippocampus",68,GABA,Hippocampus,Hippocampus,65,Neurons,CNS neurons,Telencephalon interneurons,Telencephalon inhibitory interneurons,nan,Telencephalon inhibitory interneurons,19,Inhibitory,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TEINH7,Neurons,FALSE
mousebrain_all.sem_mean,TEGLU14,8.090873208804024e-7,1.0750878055411033e-6,0.7525778980193902,0.22585180162198715,9.113361583509018e-7,-1.2264645994407303e-6,2.828610092444909e-6,TEGLU14,Neurons,"Excitatory neurons, cerebral cortex",35,Glutamate (VGLUT1),Subiculum,Cortex,13,Neurons,CNS neurons,Telencephalon projecting neurons,Telencephalon projecting excitatory neurons,nan,Telencephalon projecting excitatory neurons,24,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,TEGLU14,Neurons,FALSE
mousebrain_all.sem_mean,SZNBL,5.421994991767304e-7,7.254656142577589e-7,0.7473813899938836,0.22741668782519814,5.340157638423862e-7,-8.278964991186992e-7,1.8445652591566115e-6,SZNBL,Neurons,Neuronal intermidate progenitor cells,971,NA,"Sub ventricular zone, Dentate gyrus","Striatum dorsal, Striatum ventral, Dentate gyrus",36,Neurons,CNS neurons,Immature neural,Non-glutamatergic neuroblasts,nan,Neuroblasts,21,Undefined class,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,SZNBL,Neurons,FALSE
mousebrain_all.sem_mean,DEINH6,1.118210524588551e-6,1.5004161062856812e-6,0.7452669428860705,0.22805518046375148,9.764473726060129e-7,-1.6719708383568077e-6,3.97774967269213e-6,DEINH6,Neurons,"Peptidergic neurons, hypothalamus",12,GABA,"Arcuate hypothalamic nucleus (probably, Npy, Agrp cells)",Hypothalamus,91,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Peptidergic neurons,nan,Peptidergic neurons,17,Inhibitory,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEINH6,Neurons,FALSE
mousebrain_all.sem_mean,OBNBL2,9.80811032770121e-7,1.3354004703839102e-6,0.734469587604796,0.23133129447082224,9.10819331418297e-7,-1.6202939823644274e-6,3.1911229304742785e-6,OBNBL2,Neurons,"Neuroblasts, olfactory bulb",225,Glutamate (VGLUT2),"Main olfactory bulb mitral layer, Main olfactory bulb outer plexiform layer",Olfactory bulb,181,Neurons,CNS neurons,Immature neural,Glutamatergic neuroblasts,nan,Neuroblasts,21,Excitatory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,OBNBL2,Neurons,FALSE
mousebrain_all.sem_mean,TEINH20,6.958748237290003e-7,9.552270640450843e-7,0.7284915282678347,0.23315637636739792,7.738015273588643e-7,-1.4637547582429357e-6,2.473822358361928e-6,TEINH20,Neurons,"Inhibitory interneurons, hippocampus",139,GABA,Hippocampus (sr/slm),Hippocampus,56,Neurons,CNS neurons,Telencephalon interneurons,Telencephalon inhibitory interneurons,"May also be located to the hilus of the dentate gyrus, based on Slc18a2",Telencephalon inhibitory interneurons,19,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TEINH20,Neurons,FALSE
